Property Type,Location,BHK,Society Name,Furnishing,Bathrooms,Balconies,Facing Direction,Carpet Area,Floor Details,Rental Price,Tenant Preferred
flats,ahmedabad,3,,Unfurnished,3,3,PropertyThis,1000,9,"16,000",Bachelors
flats,ahmedabad,3,Name,Unfurnished,3,1,,1004,,"27,500",Bachelors
flats,ahmedabad,2,,Semi-Furnished,2,1,PropertyYou,,9,"17,000",Bachelors
flats,ahmedabad,3,,Semi-Furnished,3,1,PropertyIf,1500,4,"35,000",Bachelors
flats,ahmedabad,2,,Furnished,2,1,,1200,6,"15,000",Bachelors
flats,ahmedabad,2,,Unfurnished,2,1,,600,3,"13,500",Bachelors
flats,ahmedabad,2,,Semi-Furnished,2,,,1000,2,"8,500",Bachelors
flats,ahmedabad,3,,Furnished,3,1,PropertyIf,1805,5,"54,000",Bachelors
flats,ahmedabad,2,,Furnished,2,2,,1000,1,"30,000",Family
flats,ahmedabad,4,Name,Unfurnished,4,1,PropertyIf,2623,4,"54,000",Bachelors
flats,ahmedabad,3,,Semi-Furnished,2,1,,1039,7,"33,000",Family
flats,ahmedabad,3,Name,Furnished,3,1,,1291,,"30,000",Bachelors
flats,ahmedabad,3,,Furnished,2,1,PropertyGarden,1500,3,"20,000",Bachelors
flats,ahmedabad,2,Name,Furnished,2,,,105,3,"18,000",Bachelors
flats,ahmedabad,3,,Furnished,3,1,,2000,2,"48,000",Bachelors
flats,ahmedabad,1,Name,Semi-Furnished,1,2,,440,5,"15,000",Bachelors
flats,ahmedabad,3,,Semi-Furnished,2,1,,1250,7,"22,000",Bachelors
flats,ahmedabad,2,Name,Furnished,2,1,PropertyA,927,7,"20,000",Family
flats,ahmedabad,2,,Semi-Furnished,2,,,,4,"11,000",Bachelors
flats,ahmedabad,2,Name,Semi-Furnished,1,1,,520,1,"14,000",Bachelors
flats,ahmedabad,3,,Semi-Furnished,3,1,PropertyMultistorey,1709,2,"35,000",Bachelors
flats,ahmedabad,2,Name,Unfurnished,2,3,,1000,1,"15,000",Bachelors
flats,ahmedabad,2,Name,Unfurnished,2,2,,,1,"20,000",Bachelors
flats,ahmedabad,4,Name,Unfurnished,5,1,,3900,12,"45,000",Bachelors
flats,ahmedabad,2,,Furnished,2,1,,1245,6,"30,000",Bachelors
flats,ahmedabad,2,,Furnished,2,1,,1296,9,"30,000",Bachelors
flats,ahmedabad,2,Name,Furnished,2,1,,201,,"32,000",Bachelors
flats,ahmedabad,3,,Semi-Furnished,3,23,,1134,3,"30,000",Family
flats,ahmedabad,3,Name,Furnished,3,1,,1071,,"35,500",Family
flats,ahmedabad,2,,Unfurnished,2,3,PropertyThis,1200,4,"15,500",Bachelors
independent-house,ahmedabad,4,,Semi-Furnished,5,2,,3920,,"41,000",Bachelors
independent-house,ahmedabad,2,,Semi-Furnished,2,2,Propertyproperty,1200,,"16,000",Bachelors
independent-house,ahmedabad,1,,Semi-Furnished,1,1,,600,,"6,000",Bachelors
independent-house,ahmedabad,2,,Unfurnished,3,2,,169,,"8,500",Bachelors
independent-house,ahmedabad,4,,Unfurnished,4,,,3000,1,"45,000",Bachelors
independent-house,ahmedabad,3,,Semi-Furnished,4,1,,1000,,"14,500",Bachelors
independent-house,ahmedabad,2,,Unfurnished,3,2,,500,,"12,500",Bachelors
independent-house,ahmedabad,2,,Semi-Furnished,2,2,,1000,,"12,000",Bachelors
independent-house,ahmedabad,3,,Furnished,3,1,PropertyFully,700,1,"30,000",Bachelors
independent-house,ahmedabad,3,,Unfurnished,2,2,,1000,1,"15,000",Bachelors
independent-house,ahmedabad,2,,Semi-Furnished,2,1,,1500,,"20,000",Bachelors
independent-house,ahmedabad,3,,Unfurnished,3,1,PropertyYou,1200,1,"25,000",Bachelors
independent-house,ahmedabad,5,,Furnished,2,1,,120,2,"5,000",Bachelors
independent-house,ahmedabad,3,,Unfurnished,4,2,,2500,,"35,000",Bachelors
independent-house,ahmedabad,3,,Furnished,3,2,,1800,,"27,500",Bachelors
independent-house,ahmedabad,2,,Semi-Furnished,2,22,,3000,,"16,000",Bachelors
independent-house,ahmedabad,4,,Unfurnished,5,,,600,,"15,000",Bachelors
independent-house,ahmedabad,2,,Unfurnished,3,2,PropertyA,900,1,"15,000",Family
independent-house,ahmedabad,4,,Semi-Furnished,4,1,,150,,"28,000",Bachelors
independent-house,ahmedabad,3,,Furnished,3,2,PropertySituated,1200,,"36,000",Family
independent-house,ahmedabad,3,,Furnished,3,1,PropertyEast,,,"50,000",Family
independent-house,ahmedabad,1,,Furnished,1,,,600,1,"5,000",Bachelors
independent-house,ahmedabad,4,with full time security and equipped with amenities,Unfurnished,4,1,,,,"45,000",Bachelors
independent-house,ahmedabad,3,,Semi-Furnished,3,1,,1701,,"32,000",Family
independent-house,ahmedabad,3,,Unfurnished,4,,,,1,"18,000",Bachelors
independent-house,ahmedabad,6,,Furnished,6,3,PropertyDiscover,,,2,Bachelors
independent-house,ahmedabad,3,,Furnished,2,1,,1100,,"30,000",Bachelors
